Index,Name,Band,PC,RA,DEC,Flux,Quality
253,J0815+365,U,A,08h15m25.944824s,36d35m15.148300s,0.8,S
254,J0818+423,U,A,08h18m15.999602s,42d22m45.414940s,1.8,S
255,J0820-129,U,A,08h20m57.447616s,-12d58m59.169490s,1.2,S
256,J0823+223,U,A,08h23m24.759174s,22d23m03.288070s,1.0,S
257,J0824+558,U,A,08h24m47.236351s,55d52m42.669380s,0.9,S
258,J0824+392,U,A,08h24m55.483865s,39d16m41.904300s,1.38,P
259,J0825+031,U,A,08h25m50.338355s,03d09m24.520140s,2.7,P
260,J0826-225,U,A,08h26m01.572909s,-22d30m27.202110s,1.0,S
261,J0828-375,U,A,08h28m04.780268s,-37d31m06.280640s,2.5,P
262,J0830+241,U,A,08h30m52.086192s,24d10m59.820460s,1.5,S
263,J0832+185,U,A,08h32m16.040224s,18d32m12.133260s,0.4,S
264,J0832+492,U,A,08h32m23.216688s,49d13m21.038230s,1.2,S
265,J0834+555,U,A,08h34m54.904117s,55d34m21.070980s,1.6,P
266,J0836+274,U,A,08h36m22.888661s,27d28m52.533440s,0.3,W
267,J0836-202,U,A,08h36m39.215215s,-20d16m59.503500s,1.1,P
268,J0837-198,U,T,08h37m11.1820s,-19d51m56.810s,0.5,S
269,J0837+584,U,A,08h37m22.409733s,58d25m01.845210s,1.0,S
270,J0837+249,U,A,08h37m40.245676s,24d54m23.121600s,0.4,S
271,J0839+010,U,A,08h39m49.610999s,01d04m26.735700s,0.5,S
272,J0840+132,U,B,08h40m47.5890s,13d12m23.5600s,1.0,X
273,J0841+708,U,A,08h41m24.365281s,70d53m42.173090s,2.2,S
274,J0842+185,U,A,08h42m05.094180s,18d35m40.990610s,0.6,S
275,J0854+579,U,A,08h54m41.996385s,57d57m29.939280s,0.7,S
276,J0854+201,U,A,08h54m48.874925s,20d06m30.640880s,3.0,P
277,J0900-281,U,C,09h00m40.0390s,-28d08m20.350s,1.33,P
278,J0902-142,U,A,09h02m16.830907s,-14d15m30.875380s,1.6,P
279,J0903+468,U,A,09h03m03.990103s,46d51m04.137530s,1.3,S
280,J0909+013,U,A,09h09m10.091597s,01d21m35.617650s,1.4,P
281,J0915+295,U,A,09h15m52.401620s,29d33m24.042740s,0.2,W
282,J0920+446,U,A,09h20m58.458480s,44d41m53.985020s,1.5,P
283,J0921-263,U,B,09h21m29.353874s,-26d18m43.386040s,1.9,P
284,J0921+622,U,A,09h21m36.231054s,62d15m52.180350s,1.2,P
285,J0922-399,U,A,09h22m46.418268s,-39d59m35.067510s,1.6,S
286,J0925+003,U,A,09h25m07.815028s,00d19m13.933410s,0.5,S
287,J0927+390,U,A,09h27m03.013916s,39d02m20.851950s,6.6,P
288,J0927-205,U,A,09h27m51.824323s,-20d34m51.232660s,1.0,S
289,J0932+531,U,A,09h32m41.150834s,53d06m33.800800s,0.4,S
290,J0943-083,U,B,09h43m36.944364s,-08d19m30.812400s,0.4,S
291,J0948+406,U,A,09h48m55.338145s,40d39m44.587190s,0.8,S
292,J0954+177,U,A,09h54m56.823626s,17d43m31.222420s,0.6,S
293,J0956+252,U,A,09h56m49.875361s,25d15m16.049770s,0.9,S
294,J0957+553,U,C,09h57m38.184971s,55d22m57.769240s,0.8,X
295,J0958+474,U,A,09h58m19.671648s,47d25m07.842500s,0.7,S
296,J0958+324,U,A,09h58m20.949621s,32d24m02.209290s,1.1,S
297,J0958+655,U,A,09h58m47.245101s,65d33m54.818060s,0.6,S
298,J1007+139,U,A,10h07m41.498079s,13d56m29.600940s,0.7,S
299,J1008+075,U,T,10h08m00.0160s,07d30m16.552s,0.5,X
300,J1008+063,U,A,10h08m00.816171s,06d21m21.215060s,0.4,W
301,J1010+828,U,B,10h10m15.783046s,82d50m14.384080s,0.6,S
302,J1013+248,U,A,10h13m53.428737s,24d49m16.441100s,0.9,P
303,J1014+230,U,A,10h14m47.065445s,23d01m16.570910s,0.91,S
304,J1016+206,U,A,10h16m44.322063s,20d37m47.305260s,0.7,S
305,J1018-317,U,C,10h18m09.2675s,-31d44m13.983s,0.5,S
306,J1018+357,U,A,10h18m10.988079s,35d42m39.441310s,0.7,S
307,J1023+398,U,A,10h23m11.565623s,39d48m15.385390s,1.14,S
308,J1024-008,U,B,10h24m29.586611s,-00d52m55.497850s,0.4,S
309,J1025+128,U,A,10h25m56.285358s,12d53m49.022240s,0.7,S
310,J1033+412,U,A,10h33m03.707841s,41d16m06.232970s,0.5,S
311,J1033+395,U,A,10h33m22.060988s,39d35m51.083370s,0.4,S
312,J1033+608,U,A,10h33m51.428998s,60d51m07.334570s,0.5,S
313,J1035-201,U,A,10h35m02.155274s,-20d11m34.359750s,0.9,S
314,J1035+564,U,A,10h35m07.0399s,56d28m46.792s,0.4,S
315,J1037-295,U,B,10h37m16.079734s,-29d34m02.813220s,1.3,P
316,J1042+120,U,A,10h42m44.605212s,12d03m31.264070s,0.0,X
317,J1043+241,U,A,10h43m09.035777s,24d08m35.409460s,0.8,S
318,J1044+809,U,A,10h44m23.062554s,80d54m39.443030s,0.5,S
319,J1044+069,U,A,10h44m55.911239s,06d55m38.262770s,0.25,W
320,J1048-191,U,A,10h48m06.620606s,-19d09m35.726950s,1.3,P
321,J1048+717,U,A,10h48m27.619917s,71d43m35.938280s,1.3,P
322,J1048-412,U,C,10h48m38.2710s,-41d14m00.080s,0.25,X
323,J1051-316,U,A,10h51m04.777538s,-31d38m14.307410s,0.3,S
324,J1051+213,U,A,10h51m48.789073s,21d19m52.314110s,0.8,S
325,J1056+701,U,A,10h56m53.617492s,70d11m45.915850s,0.8,S
326,J1057-245,U,C,10h57m55.410047s,-24d33m48.871750s,0.2,X
327,J1058+812,U,A,10h58m11.535365s,81d14m32.675210s,0.8,S
328,J1058+015,U,A,10h58m29.605209s,01d33m58.823720s,4.0,P
329,J1103+302,U,A,11h03m13.301894s,30d14m42.702380s,0.4,W
330,J1106-211,U,T,11h06m22.3200s,-21d08m59.642s,0.0,X
331,J1112-219,U,B,11h12m49.848703s,-21d58m29.351860s,0.3,S
332,J1118+125,U,A,11h18m57.301443s,12d34m41.718060s,1.1,S
333,J1120-251,U,C,11h20m09.120788s,-25d08m07.608300s,0.02,X
334,J1120+143,U,C,11h20m27.807267s,14d20m54.991600s,0.3,S
335,J1122+180,U,A,11h22m29.711471s,18d05m26.343400s,0.4,S
336,J1125+261,U,A,11h25m53.711925s,26d10m19.978680s,0.7,S
337,J1127-189,U,A,11h27m04.392448s,-18d57m17.441660s,2.0,P
338,J1130-148,U,A,11h30m07.052580s,-14d49m27.388160s,2.3,P
339,J1130+382,U,A,11h30m53.282612s,38d15m18.547070s,1.3,P
340,J1131-050,U,A,11h31m30.516732s,-05d00m19.657360s,0.7,S
341,J1139+657,U,T,11h39m58.5418s,65d47m46.454s,0.0,X
342,J1145-228,U,A,11h45m22.046820s,-22d50m31.342980s,0.4,S
343,J1145+497,U,T,11h45m43.3748s,49d46m08.062s,0.0,X
344,J1146-247,U,A,11h46m08.103374s,-24d47m32.896810s,0.6,S
345,J1146-289,U,A,11h46m26.188639s,-28d59m18.504680s,0.7,S
346,J1146-334,U,C,11h46m28.4520s,-33d28m42.660s,0.34,X
347,J1146+399,U,A,11h46m58.297907s,39d58m34.304610s,1.6,P
348,J1147-382,U,A,11h47m01.370704s,-38d12m11.023530s,3.5,S
349,J1147+350,U,A,11h47m22.130606s,35d01m07.522920s,0.3,W
350,J1147-074,U,A,11h47m51.554036s,-07d24m41.141090s,0.7,S
351,J1148+594,U,B,11h48m50.358242s,59d24m56.382430s,0.38,W
352,J1150+242,U,A,11h50m19.212173s,24d17m53.835030s,0.7,S
353,J1150-003,U,A,11h50m43.870761s,-00d23m54.204900s,1.4,P
354,J1152+496,U,B,11h52m32.8735s,49d39m38.774s,0.51,S
355,J1153+809,U,A,11h53m12.499130s,80d58m29.154510s,1.3,P
356,J1153+495,U,A,11h53m24.466626s,49d31m08.830140s,1.22,S
357,J1154-350,U,C,11h54m21.7949s,-35d05m28.992s,0.9,S
358,J1157+166,U,A,11h57m34.836265s,16d38m59.650310s,0.5,S
359,J1158+248,U,A,11h58m25.787505s,24d50m17.963690s,0.4,S
360,J1159-224,U,A,11h59m11.267271s,-22d28m36.902200s,0.0,X
361,J1159+292,U,A,11h59m31.833911s,29d14m43.826940s,1.3,S
362,J1159-218,U,A,11h59m51.906135s,-21d48m53.707610s,0.4,S
363,J1203+480,U,B,12h03m29.8546s,48d03m13.629s,0.6,S
364,J1205-265,U,A,12h05m33.212335s,-26d34m04.464570s,1.0,S
365,J1206+642,U,T,12h06m24.6868s,64d13m37.340s,0.0,X
366,J1207+279,U,A,12h07m27.900475s,27d54m58.849970s,0.5,S
367,J1209-241,U,A,12h09m02.445128s,-24d06m20.759560s,1.0,P
368,J1209+436,U,T,12h09m13.4256s,43d39m17.628s,0.0,X
369,J1215+169,U,A,12h15m03.979124s,16d54m37.957360s,0.6,W
370,J1215-175,U,A,12h15m46.751770s,-17d31m45.402890s,4.4,S
371,J1215+348,U,A,12h15m55.601049s,34d48m15.220530s,0.7,S
372,J1217+585,U,A,12h17m11.018694s,58d35m26.248250s,0.0,X
373,J1217+301,U,A,12h17m52.081987s,30d07m00.636250s,0.4,S
374,J1219+484,U,A,12h19m06.414733s,48d29m56.164970s,0.52,S
375,J1220+292,U,B,12h20m06.8246s,29d16m50.716s,0.1,W
376,J1221+282,U,A,12h21m31.690515s,28d13m58.500260s,0.7,S
377,J1222+042,U,A,12h22m22.549618s,04d13m15.776300s,0.6,S
378,J1224+035,U,B,12h24m52.421938s,03d30m50.292910s,1.1,P
379,J1224+213,U,A,12h24m54.458387s,21d22m46.388610s,1.3,X
380,J1229+020,U,B,12h29m06.699729s,02d03m08.598190s,34.0,X
381,J1239+075,U,A,12h39m24.588312s,07d30m17.189090s,0.7,S
382,J1239-103,U,A,12h39m43.061498s,-10d23m28.692800s,0.9,S
383,J1242-047,U,T,12h42m19.6650s,-04d46m20.710s,0.0,X
384,J1242+378,U,A,12h42m51.369098s,37d51m00.025130s,0.6,S
385,J1246-075,U,A,12h46m04.232113s,-07d30m46.574500s,1.6,P
386,J1246-257,U,A,12h46m46.802040s,-25d47m49.288830s,2.2,P
387,J1248-199,U,A,12h48m23.898197s,-19d59m18.587620s,1.0,P
388,J1252+565,U,C,12h52m26.3873s,56d34m19.413s,0.0,X
389,J1254+116,U,A,12h54m38.255601s,11d41m05.895070s,0.9,S
390,J1256-057,U,B,12h56m11.166560s,-05d47m21.524580s,21.8,S
391,J1257-319,U,A,12h57m59.060804s,-31d55m16.851850s,0.7,S
392,J1258-223,U,A,12h58m54.478780s,-22d19m31.125450s,0.6,S
393,J1300+142,U,A,13h00m20.918799s,14d17m18.531070s,0.2,W
394,J1302+578,U,A,13h02m52.465282s,57d48m37.609420s,0.4,W
395,J1305-105,U,A,13h05m33.015026s,-10d33m19.428210s,1.2,P
396,J1308+657,U,T,13h08m22.4165s,65d44m11.781s,0.0,X
397,J1309+119,U,A,13h09m33.932431s,11d54m24.552420s,0.6,S
398,J1310+323,U,A,13h10m28.663845s,32d20m43.782950s,2.3,P
399,J1310+325,U,A,13h10m59.402725s,32d33m34.449560s,0.5,S
400,J1311-222,U,C,13h11m39.3347s,-22d16m41.748s,0.0,X
401,J1313+675,U,C,13h13m27.9848s,67d35m50.376s,0.3,S
402,J1316-336,U,A,13h16m07.985939s,-33d38m59.172500s,1.2,P
403,J1317+344,U,A,13h17m36.494189s,34d25m15.932660s,0.3,W
404,J1323-448,U,B,13h23m04.246182s,-44d52m33.853400s,0.3,S
405,J1323+797,U,B,13h23m51.569786s,79d42m51.847060s,0.6,S
406,J1326+319,U,A,13h26m16.512212s,31d54m09.515380s,1.0,S
407,J1327+221,U,A,13h27m00.861311s,22d10m50.163060s,1.6,P
408,J1329+319,U,A,13h29m52.864930s,31d54m11.055010s,1.4,P
409,J1330+251,U,C,13h30m37.6892s,25d09m10.978s,1.6,P
410,J1331+305,U,A,13h31m08.287984s,30d30m32.958850s,3.4,S
411,J1337-129,U,A,13h37m39.782780s,-12d57m24.693230s,3.0,S
412,J1338-064,U,T,13h38m08.0700s,-06d27m11.200s,0.0,X
413,J1339-263,U,A,13h39m19.890748s,-26d20m30.495900s,0.5,S
414,J1340+379,U,A,13h40m22.951801s,37d54m43.833640s,0.1,X
415,J1342+603,U,T,13h42m13.0249s,60d21m42.485s,0.0,X
416,J1344+661,U,A,13h44m08.679674s,66d06m11.643810s,0.8,S
417,J1344+141,U,C,13h44m23.7421s,14d09m14.856s,0.0,X
418,J1345+497,U,T,13h45m26.3742s,49d46m32.924s,0.0,X
419,J1347-080,U,T,13h47m01.5230s,-08d03m23.840s,0.0,X
420,J1347+122,U,A,13h47m33.361645s,12d17m24.238900s,1.6,P
421,J1349+536,U,A,13h49m34.656623s,53d41m17.040280s,0.7,S
422,J1349-393,U,T,13h49m51.1675s,-39d22m50.268s,0.0,X
423,J1350+305,U,A,13h50m52.736206s,30d34m53.590510s,0.4,W
424,J1351-148,U,A,13h51m52.649611s,-14d49m14.555740s,0.4,S
425,J1354-021,U,A,13h54m06.895319s,-02d06m03.190510s,0.6,S
426,J1354-106,U,C,13h54m46.5118s,-10d41m02.652s,1.99,S
427,J1356-343,U,C,13h56m05.3836s,-34d21m10.824s,0.6,S
428,J1357+193,U,A,13h57m04.436656s,19d19m07.372340s,1.3,S
429,J1357-177,U,A,13h57m06.074200s,-17d44m01.904130s,0.4,S
430,J1357-154,U,A,13h57m11.244974s,-15d27m28.786530s,0.6,S
431,J1357+767,U,A,13h57m55.371519s,76d43m21.051110s,0.4,S
432,J1400+621,U,C,14h00m28.6526s,62d10m38.526s,0.67,S
433,J1404+658,U,C,14h04m05.2760s,65d51m37.516s,0.4,S
434,J1404-015,U,A,14h04m45.895457s,-01d30m21.946690s,0.2,X
435,J1405+042,U,A,14h05m01.119812s,04d15m35.818950s,0.4,X
436,J1407+284,U,A,14h07m00.394410s,28d27m14.689980s,1.3,P
437,J1408-078,U,A,14h08m56.481200s,-07d52m26.666330s,0.6,S
438,J1409-269,U,A,14h09m50.169776s,-26d57m36.979720s,nan,S
439,J1411+215,U,B,14h11m54.862146s,21d34m23.436330s,0.2,X
440,J1415+133,U,A,14h15m58.817499s,13d20m23.712600s,2.0,P
441,J1416+347,U,A,14h16m04.186239s,34d44m36.427560s,0.4,S
442,J1417+461,U,A,14h17m08.161301s,46d07m05.448370s,0.7,S
443,J1419+064,U,A,14h19m08.180173s,06d28m34.803490s,0.0,X
444,J1419+543,U,A,14h19m46.597401s,54d23m14.787210s,1.2,P
445,J1419+383,U,A,14h19m46.613761s,38d21m48.475220s,0.6,S
446,J1419+271,U,A,14h19m59.297063s,27d06m25.552690s,0.2,X
447,J1421+417,U,T,14h21m05.8800s,41d44m49.490s,0.0,X
448,J1425-299,U,T,14h25m29.1162s,-29d59m54.331s,0.0,X
449,J1425+144,U,A,14h25m49.018011s,14d24m56.902560s,0.7,S
450,J1426+364,U,A,14h26m37.087495s,36d25m09.573930s,0.3,W
451,J1427-421,U,A,14h27m56.297560s,-42d06m19.437620s,3.0,S
452,J1429+541,U,A,14h29m21.878790s,54d06m11.122910s,0.2,X
453,J1430+107,U,A,14h30m09.738791s,10d43m26.861970s,0.8,S
454,J1433-158,U,A,14h33m21.459309s,-15d48m44.687310s,0.4,S
455,J1434+198,U,A,14h34m39.793356s,19d52m00.735830s,0.3,W
456,J1435+302,U,A,14h35m35.402165s,30d12m24.520590s,0.2,W
457,J1436+233,U,A,14h36m40.981113s,23d21m03.259730s,0.5,S
458,J1436+636,U,A,14h36m45.802138s,63d36m37.866580s,0.5,S
459,J1438-220,U,A,14h38m09.469425s,-22d04m54.748090s,0.8,S
460,J1438+621,U,C,14h38m44.7873s,62d11m54.397s,0.3,S
461,J1439-155,U,A,14h39m56.872054s,-15d31m50.555240s,nan,S
462,J1445+099,U,A,14h45m16.465213s,09d58m36.072440s,0.4,S
463,J1445-164,U,A,14h45m53.376319s,-16d29m01.619120s,nan,S
464,J1446+173,U,A,14h46m35.346298s,17d21m07.581340s,1.0,P
465,J1448-163,U,A,14h48m15.054162s,-16d20m24.548880s,0.5,S
466,J1449+632,U,T,14h49m21.7153s,63d16m14.465s,0.0,X
467,J1454-377,U,A,14h54m27.409764s,-37d47m33.144830s,1.5,S
468,J1458+042,U,A,14h58m59.356206s,04d16m13.820570s,0.8,X
469,J1459+716,U,A,14h59m07.583867s,71d40m19.867740s,1.9,S
470,J1500+478,U,A,15h00m48.654199s,47d51m15.538260s,0.3,W
471,J1501-396,U,T,15h01m34.7619s,-39d18m40.038s,0.39,W
472,J1504+104,U,A,15h04m24.979783s,10d29m39.198650s,1.4,P
473,J1505+034,U,A,15h05m06.477161s,03d26m30.812610s,0.8,S
474,J1506+375,U,A,15h06m09.529958s,37d30m51.132410s,nan,S
475,J1507-168,U,A,15h07m04.786960s,-16d52m30.267340s,2.4,P
476,J1510+570,U,A,15h10m02.922361s,57d02m43.375970s,0.3,S
477,J1511+053,U,B,15h11m41.2652s,05d18m09.264s,0.7,S
478,J1512-090,U,B,15h12m50.532939s,-09d05m59.829500s,2.5,S
479,J1513+236,U,A,15h13m40.185630s,23d38m35.200460s,nan,S
480,J1513-102,U,A,15h13m44.893444s,-10d12m00.264350s,1.3,P
481,J1513-212,U,A,15h13m56.970129s,-21d14m57.506900s,0.3,S
482,J1516+002,U,A,15h16m40.219072s,00d15m01.908960s,1.2,P
483,J1516+195,U,A,15h16m56.796194s,19d32m12.991870s,0.5,S
484,J1517-243,U,A,15h17m41.813132s,-24d22m19.475940s,2.0,S
485,J1521+436,U,A,15h21m49.613873s,43d36m39.267970s,0.7,S
486,J1522-275,U,A,15h22m37.675991s,-27d30m10.785430s,1.6,P
487,J1526-138,U,B,15h26m59.440733s,-13d51m00.163560s,0.0,X
488,J1534+015,U,A,15h34m52.453675s,01d31m04.206570s,0.7,S
489,J1535+499,U,A,15h35m52.038964s,49d57m39.079680s,0.2,W
490,J1538+003,U,A,15h38m15.953081s,00d19m05.324150s,0.4,S
491,J1540+147,U,A,15h40m49.491511s,14d47m45.884850s,1.1,S
492,J1543-079,U,B,15h43m01.687567s,-07d57m06.629160s,0.4,S
493,J1545+515,U,A,15h45m02.823679s,51d35m00.873280s,0.3,W
494,J1546+004,U,A,15h46m09.531474s,00d26m24.614080s,0.4,S
495,J1549+506,U,A,15h49m17.468534s,50d38m05.788200s,0.8,S
496,J1549+026,U,A,15h49m29.436847s,02d37m01.163470s,1.6,P
497,J1549+214,U,T,15h49m49.0236s,21d25m38.856s,0.0,X
498,J1550+054,U,A,15h50m35.269240s,05d27m10.448230s,2.0,S
499,J1551+581,U,B,15h51m58.207835s,58d06m44.453850s,0.3,W
500,J1553+129,U,A,15h53m32.697866s,12d56m51.716570s,0.5,S
501,J1557-000,U,A,15h57m51.433973s,-00d01m50.413710s,0.93,S
502,J1558-141,U,A,15h58m21.948056s,-14d09m59.050910s,0.4,S
503,J1559+030,U,A,15h59m30.972610s,03d04m48.256960s,0.2,S
504,J1602+334,U,A,16h02m07.263468s,33d26m53.072670s,1.4,P
505,J1608+104,U,A,16h08m46.203179s,10d29m07.775850s,2.1,P
506,J1609+266,U,B,16h09m13.320753s,26d41m29.036380s,0.5,S
